,賣出股數,賣出價錢,總價,賣出時間,ORDER ID,股票代號
0,12.0,39.49,473.88,2022年07月01日-20時07分,1889be92-ab7f-4c11-b961-45a3dd1cc593,WBA
1,12.0,39.49,473.88,2022年07月01日-21時55分,6d412998-7332-4dd1-a1d4-b7cf0f70ba3f,WBA
